Fire_Name,County,City,Lat,Lng,Start_Date,End_Date,Agency,Acres,Cause
SAWTOOTH COMPLEX,San Bernardino,San Bernardino,34.1083,-117.2898,7/9/2006,7/20/2006,CDF,62000,LIGHTNING
BECK,San Luis Obispo,San Luis Obispo,35.2828,-120.6597,7/11/2006,7/12/2006,BLM,1500,UI
MIDWAY,Alameda,Pleasanton,37.6624,-121.8747,7/11/2006,7/11/2006,CDF,6400,UNDET.
SQUIRREL,Madera,Madera Acres,37.0191,-120.0669,7/14/2006,7/14/2006,LOCAL,500,VEHICLE
EDGEMONT,San Bernardino,San Bernardino,34.1083,-117.2898,7/14/2006,7/15/2006,CDF,575,ELEC. POW.
GEYSERS,Mendocino,Willits,39.4096,-123.3556,7/17/2006,7/17/2006,CDF,321,UNDET.
SKYWAY 2,Butte,Paradise,39.7596,-121.622,7/17/2006,7/17/2006,CDF,451,VEHICLE
29,Lake,Lakeport,39.043,-122.9159,7/17/2006,7/21/2006,CDF,550,VEHICLE
CREEK,Lassen,Susanville,40.4163,-120.6531,7/18/2006,7/21/2006,CDF,1234,UNDET.
BORDER FIRE # 16,San Diego,San Diego,32.7174,-117.1628,7/20/2006,7/20/2006,CDF,315,UNDET.
COYTOE,Tulare,Camp Nelson,36.1427,-118.6093,7/20/2006,7/21/2006,CDF,1325,LIGHTNING
BURNT,Fresno,Fresno,36.7394,-119.7849,7/21/2006,7/21/2006,NPS,627,LIGHTNING
OLIVE,Merced,Merced,37.303,-120.4844,7/21/2006,7/21/2006,LOCAL,25007,MISC.
RIDGE,Kern,Bakersfield,35.3739,-119.0195,7/22/2006,7/28/2006,CDF,445,LIGHTNING
RAMP FIRE,San Bernardino,San Bernardino,34.1083,-117.2898,7/22/2006,7/22/2006,USFS,448,HUMAN
WHISPERING PINES,San Bernardino,San Bernardino,34.1083,-117.2898,7/22/2006,7/26/2006,CDF/NPS,993,LIGHTNING
CABEU-002665 (RICCO),Monterey,King City,36.2127,-121.1261,7/22/2006,7/27/2006,CDF,14506,LIGHTNING
COYOTE FIRE,Riverside,Riverside,33.9534,-117.3962,7/23/2006,7/26/2006,CDF,467,LIGHTNING
SCOTT,Kern,Bakersfield,35.3739,-119.0195,7/23/2006,7/23/2006,CDF,600,LIGHTNING
"""Y""",San Luis Obispo,San Luis Obispo,35.2828,-120.6597,7/23/2006,7/23/2006,CDF,660,ELEC. POW.
HAPPY CAMP,Siskiyou,Yreka,41.7326,-122.6378,7/23/2006,9/24/2006,USFS,3318,LIGHTNING
ASSIST 103 (HORSE),San Diego,San Diego,32.7174,-117.1628,7/23/2006,8/1/2006,USFS,16681,HUMAN
UNCLES COMPLEX,Siskiyou,Yreka,41.7326,-122.6378,7/23/2006,10/31/2006,USFS,30454,LIGHTNING
PANTHER,Trinity,Hayfork,40.5543,-123.1831,7/24/2006,8/7/2006,USFS,904,LIGHTNING
MT. PINOS LIGHTNING C,Kern,Bakersfield,35.3739,-119.0195,7/24/2006,7/29/2006,CDF,3194,LIGHTNING
